ticker,visible_col,signal_col,n_obs,n_paired,ic,pval,accuracy,ls_spread,abs_ic
ZTS,visible_count,predicted_surprise_magnitude,14,12,-0.4825174825174825,0.11210929146889187,0.4166666666666667,-0.05710111054996488,0.4825174825174825
TDOC,visible_count,contemp_corr_historical,13,10,-0.4787878787878787,0.161522928017456,0.1,-0.23996839788931468,0.4787878787878787
BWAY,visible_count,resid,12,11,0.4758122596122408,0.13905433066438813,0.45454545454545453,0.09000467414293772,0.4758122596122408
ALC,total_universe,leading_regime_shift,21,21,-0.47347967911616623,0.030155518100305395,0.0,-0.08222933760127814,0.47347967911616623
IDXX,visible_count,ucc_to_rev_beta,24,21,-0.4727272727272727,0.030455231601954343,0.3333333333333333,-0.10821848388230652,0.4727272727272727
ENOV,visible_count,predicted_surprise_magnitude_v2,18,13,0.4725274725274725,0.10298105029992853,0.5384615384615384,0.05872383661170259,0.4725274725274725
MASI,visible_count,ucc_to_surprise_beta,20,13,-0.4725274725274725,0.10298105029992853,0.38461538461538464,-0.1327258355528091,0.4725274725274725
ABT,visible_count,contemp_corr_ma,26,21,-0.4701298701298702,0.031507962850302,0.3333333333333333,-0.06967193583014962,0.4701298701298702
QGEN,visible_count,predicted_surprise_magnitude,29,26,-0.467603582501132,0.016006677203845195,0.23076923076923078,-0.09580583012223984,0.467603582501132
BSX,visible_count,ucc_to_surprise_beta,16,13,-0.46703296703296704,0.10760914039913912,0.3076923076923077,-0.04214225700930344,0.46703296703296704
NVST,visible_count,predicted_surprise_magnitude_v2,19,16,-0.4588235294117647,0.07383553449548094,0.375,-0.09342924687032149,0.4588235294117647
ZTS,visible_count,filtered_contemp_corr,14,10,0.4545454545454545,0.18690481034933198,0.7,0.032379996494922125,0.4545454545454545
DE,total_universe,filtered_leading_corr,31,24,-0.4539130434782608,0.02588026580365202,0.375,-0.0622405635174889,0.4539130434782608
SKIN,visible_count,contemp_confidence,11,11,0.45275701377836086,0.16200432180198007,0.18181818181818182,0.10524388268478718,0.45275701377836086
BSX,visible_count,leading_confidence,16,16,-0.44780382932736446,0.08196502270392768,0.1875,-0.02696121732338542,0.44780382932736446
BWAY,visible_count,contemp_regime_shift,12,11,0.44679931695295777,0.16829271619373573,0.09090909090909091,0.007561429516346501,0.44679931695295777
BWAY,visible_count,leading_regime_shift,12,11,0.44679931695295777,0.16829271619373573,0.09090909090909091,0.007561429516346501,0.44679931695295777
GM,visible_count,contemp_corr_momentum,31,26,-0.4455462537335249,0.022542741219225188,0.3076923076923077,-0.09338275875965231,0.4455462537335249
MMM,visible_count,predicted_surprise_magnitude_v2,24,15,0.4428571428571427,0.09829406554687141,0.5333333333333333,0.049491690296299136,0.4428571428571427
DE,total_universe,leading_corr_historical,31,27,-0.44017094017094016,0.021579237528711062,0.37037037037037035,-0.06387117480542763,0.44017094017094016
BAX,visible_count,resid,28,28,-0.43975910208979924,0.019199579757371608,0.39285714285714285,-0.04642976810639423,0.43975910208979924
QGEN,visible_count,contemp_confidence,29,28,0.43854223858411145,0.019574489516912524,0.17857142857142858,0.045038355078761576,0.43854223858411145
TTC,visible_count,ucc_surprise_corr_historical,31,28,0.4367816091954023,0.02012755678120862,0.6785714285714286,0.08312767507107896,0.4367816091954023
ALGN,total_universe,predicted_surprise_magnitude,26,24,0.4339130434782608,0.03413496013263738,0.625,0.09645175182982402,0.4339130434782608
ALGN,total_universe,predicted_rev_resid_calibrated,26,24,0.43304347826086953,0.034536379264078446,0.625,0.09645175182982402,0.43304347826086953
TXT,visible_count,contemp_corr_ma,33,24,0.4313735727808503,0.03531776401474013,0.625,0.001386054418691253,0.4313735727808503
APYX,visible_count,predicted_rev_resid_calibrated,19,17,-0.43137254901960786,0.08383073912478922,0.29411764705882354,-0.21484174636937395,0.43137254901960786
CAT,visible_count,leading_corr_momentum,23,19,0.4298245614035088,0.06625050848320457,0.47368421052631576,0.04831253168782151,0.4298245614035088
XRAY,visible_count,contemp_regime_shift,19,19,0.42349856251040285,0.07079437853625381,0.10526315789473684,0.06788024746863318,0.42349856251040285
BSX,visible_count,leading_corr_historical,16,13,-0.4230769230769231,0.14974854155496803,0.38461538461538464,-0.05726219019194613,0.4230769230769231
