ticker,visible_col,signal_col,n_obs,n_paired,ic,pval,accuracy,ls_spread,abs_ic
ILMN,visible_count,predicted_surprise_calibrated,28,26,-0.01612359401829101,0.9376880865488841,0.5,-0.0508815347591184,0.01612359401829101
ILMN,visible_count,predicted_surprise_direction,28,26,0.015437483634533946,0.9403349229043572,0.6153846153846154,-0.02594081290137477,0.015437483634533946
MMM,visible_count,ucc_consensus_corr_historical,24,14,-0.015384615384615385,0.958369789371986,0.7142857142857143,0.04446946228025017,0.015384615384615385
BDX,visible_count,contemp_regime_shift,24,24,-0.015061311370164152,0.9443131813640774,0.041666666666666664,0.002351820704393192,0.015061311370164152
BAX,visible_count,ucc_to_surprise_beta,28,25,0.014615384615384615,0.9447196857477183,0.4,-0.014262241187105038,0.014615384615384615
ALC,total_universe,resid,21,21,-0.014332323591558581,0.9508335360813661,0.5714285714285714,0.020808561623391956,0.014332323591558581
ISRG,visible_count,leading_corr_momentum,25,20,-0.013533834586466165,0.9548397533571387,0.45,-0.031472912515748436,0.013533834586466165
BHC,visible_count,leading_regime_shift,26,26,-0.013333333333333332,0.9484559205883564,0.038461538461538464,0.01919723091592429,0.013333333333333332
IR,visible_count,predicted_surprise_direction,30,28,0.01329791937083694,0.946453828152675,0.5,-0.026515823175046152,0.01329791937083694
MTW,visible_count,leading_corr_ma,31,21,-0.012987012987012986,0.9554439323134464,0.5238095238095238,0.029561783990178534,0.012987012987012986
MASI,visible_count,consensus_revenue_corr_historical,20,15,0.012511175683948862,0.9647026906706679,0.7333333333333333,0.07154884495497268,0.012511175683948862
GM,visible_count,contemp_confidence,31,31,-0.012361779347608246,0.9473766742383828,0.22580645161290322,-0.01284434720469951,0.012361779347608246
TEX,visible_count,contemp_corr_ma,27,17,0.012254901960784315,0.9627675753886974,0.5294117647058824,-0.02427410801418365,0.012254901960784315
ABT,visible_count,predicted_surprise_direction,26,24,-0.012209353913347194,0.9548461433223611,0.375,-0.0029748793318909433,0.012209353913347194
XRAY,visible_count,predicted_surprise_magnitude_v2,19,16,0.011799461366882622,0.9654063302283895,0.4375,-0.05389321550023158,0.011799461366882622
HY,visible_count,ucc_to_rev_beta,16,14,-0.011001106767013944,0.9702256662352539,0.5,-0.06014067203990563,0.011001106767013944
XRAY,visible_count,contemp_corr_ma,19,14,0.01098901098901099,0.970258390096969,0.5714285714285714,0.06259539192484928,0.01098901098901099
ASTE,visible_count,resid,29,29,0.010344827586206895,0.9575252090147449,0.4482758620689655,0.04586427265021931,0.010344827586206895
ALG,visible_count,leading_regime_shift,32,32,-0.01023489986910606,0.9556643003378632,0.0625,-0.012210520734295315,0.01023489986910606
ASTE,visible_count,predicted_surprise_direction,29,27,-0.009846921430972424,0.9611216927853782,0.4444444444444444,-0.011311135828727843,0.009846921430972424
AGCO,visible_count,resid,31,31,-0.009274193548387096,0.9605084692954179,0.5806451612903226,0.037037595199168355,0.009274193548387096
SKIN,visible_count,resid,11,11,0.009090909090909092,0.9788365001441937,0.7272727272727273,0.29961707833161966,0.009090909090909092
CNMD,visible_count,leading_corr_historical,25,20,-0.009022556390977442,0.9698849998123449,0.45,-0.035710574348971055,0.009022556390977442
CNMD,visible_count,filtered_leading_corr,25,20,-0.009022556390977442,0.9698849998123449,0.45,-0.035710574348971055,0.009022556390977442
IDXX,visible_count,leading_corr_momentum,24,20,0.007518796992481202,0.97490250199334,0.55,0.058118750586497736,0.007518796992481202
ISRG,visible_count,consensus_revenue_corr_historical,25,17,0.007352941176470588,0.9776558930236224,0.5294117647058824,-0.008690782218209257,0.007352941176470588
ILMN,visible_count,leading_corr_historical,28,25,0.005405445695993212,0.9795415857647252,0.52,-0.039059035693460864,0.005405445695993212
